"id","name","abbreviation","if","if5","sci","casup","casbase","publisher","issn","eissn","official_url","rss_url"
"14955","Revista Derecho del Estado","Rev. Derecho Estado",,,"0",,,,"2346-2051","0122-9893",,
"14956","South Asia Multidisciplinary Academic Journal","South Asia Multidiscip. Acad. J.",,,"0",,,,"1960-6060",,,
"14957","Biotechnology and Biotechnological Equipment","Biotechnol. Biotechnol. Equip.","1.4","1.7","4","生物学4区","工程技术4区","Taylor & Francis","1310-2818","1314-3530","https://www.tandfonline.com/journals/tbeq20","https://www.tandfonline.com/feed/rss/tbeq20"
"14958","Categories and General Algebraic Structures with Applications","Categ. Gen. Algebr. Struct. Appl.","0.5","0.5","0","数学3区",,,"2345-5861","2345-5853",,
"14959","CERN Yellow Reports: School Proceedings","CERN Yellow Rep.: Sch. Proc.",,,"0",,,,"2519-8041","2519-805X",,
"14960","Communicable Diseases Intelligence","Commun. Dis. Intell.","1.6","1.4","0","医学4区",,,"2209-6051",,,
"14961","Diseases of Aquatic Organisms","Dis. Aquat. Org.","1.2","1.6","3","农林科学4区","农林科学3区",,"1616-1580","0177-5103",,
"14962","HeartRhythm Case Reports","Hear. Case Rep.",,,"0",,,"Elsevier","2214-0271",,,"https://rss.sciencedirect.com/publication/science/22140271"
"14963","IEEE Design and Test","IEEE Des. Test","1.9","1.9","3","计算机科学4区","工程技术4区","IEEE","2168-2356",,,
"14964","Journal of Aquatic Food Product Technology","J. Aquat. Food Prod. Technol.","1.3","1.8","4","农林科学4区","工程技术4区","Taylor & Francis","1547-0636","1049-8850","https://www.tandfonline.com/journals/wafp20","https://www.tandfonline.com/feed/rss/wafp20"
"14965","Materials Science-Poland","Mater. Sci.-Pol.","1.6","1.3","4","材料科学4区","工程技术4区",,"2083-1331","2083-134X",,
"14966","Science and Engineering of Composite Materials","Sci. Eng. Compos. Mater.","1.6","2.2","3","材料科学4区","工程技术4区","Walter De Gruyter","2191-0359","0334-181X",,
"14967","Research in Dance Education","Res. Dance Educ.","0.9","1.1","0","艺术学2区",,"Taylor & Francis","1470-1111","1464-7893","https://www.tandfonline.com/journals/crid20","https://www.tandfonline.com/feed/rss/crid20"
"14968","Educational Media International","Educ. Media Int.","1.1","2.1","0","教育学4区",,"Taylor & Francis","1469-5790","0952-3987","https://www.tandfonline.com/journals/remi20","https://www.tandfonline.com/feed/rss/remi20"
"14969","Griffith Law Review","Griffith Law Rev.","0.9","1.3","0","社会学3区",,"Taylor & Francis","1839-4205","1038-3441","https://www.tandfonline.com/journals/rlaw20","https://www.tandfonline.com/feed/rss/rlaw20"
"14970","IAFOR Journal of Education","IAFOR J. Educ.","0.7",,"0",,,,"2187-0594",,,
"14971","Journal of Agrometeorology","J. Agrometeorol.",,,"0",,"农林科学4区",,"2583-2980","0972-1665",,
"14972","Journal of Park and Recreation Administration","J. Park Recreat. Adm.","1","1.2","0","管理学4区",,,"2160-6862","0735-1968",,
"14973","Journal of Simulation","J. Simul.","1.7","1.9","3","工程技术4区","工程技术4区","Taylor & Francis","1747-7778","1747-7786","https://www.tandfonline.com/journals/tjsm20","https://www.tandfonline.com/feed/rss/tjsm20"
"14974","Kang T'ieh/Iron and Steel","Kang T'ieh/Iron Steel",,,"0",,,,"0449-749X",,,
"14975","LIBER Quarterly","LIBER Q.",,,"0",,,,"1435-5205",,,
"14976","Physiology International","Physiol. Int.","2.3","1.9","2","医学4区","医学4区",,"2498-602X",,,
"14977","Prison Journal","Prison J.","0.8","1.4","0","社会学4区",,"SAGE","0032-8855","1552-7522",,
"14978","Scientia Agricola","Sci. Agric.","1.5","2","2","农林科学3区","农林科学3区",,"0103-9016",,,
"14979","Sexual Offending: Theory, Research, and Prevention","Sex. Offending: Theory Res. Prev.",,,"0",,,,"2699-8440",,,
"14980","ZTE Communications","ZTE Commun.",,,"0",,,,"1673-5188",,,
"14981","Acta Cardiologica","Acta Cardiol.","2.5","1.9","2","医学4区","医学4区","Taylor & Francis","0001-5385","0373-7934","https://www.tandfonline.com/journals/tacd20","https://www.tandfonline.com/feed/rss/tacd20"
"14982","Brain Hemorrhages","Brain Hemorrhages","1.4","1.9","0","医学4区",,"KeAi","2589-238X",,,
"14983","Current Organic Chemistry","Curr. Org. Chem.","2.1","2.3","3","化学4区","化学4区","Bentham Science","1385-2728","1875-5348",,
"14984","Deutsche Zeitschrift fur Sportmedizin","Dtsch. Z. fur Sportmed.",,,"0",,,,"0344-5925",,,
"14985","High Temperature Materials and Processes","High Temp. Mater. Process.","1.5","1.7","4","材料科学4区","工程技术4区","Walter De Gruyter","2191-0324","0334-6455",,
"14986","Indian Journal of Tuberculosis","Indian J. Tuberc.",,,"0",,,,"0019-5707",,,
"14987","International Forum of Psychoanalysis","Int. Forum Psychoanal.","0.4","0.5","0","心理学4区",,"Taylor & Francis","1651-2324","0803-706X","https://www.tandfonline.com/journals/spsy20","https://www.tandfonline.com/feed/rss/spsy20"
"14988","International Journal of Shipping and Transport Logistics","Int. J. Shipp. Transp. Logist.","1.2","1.5","0","管理学4区",,"Royal Society of Chemistry","1756-6517","1756-6525",,
"14989","Journal on Efficiency and Responsibility in Education and Science","J. Effic. Responsib. Educ. Sci.","1.3","1.3","0","教育学4区",,,"2336-2375","1803-1617",,
"14990","Management Research","Manag. Res.",,,"0",,,"Emerald","1536-5433","1558-0946",,
"14991","Microsystem Technologies","Microsyst. Technol.",,,"0",,,"Springer Nature","0946-7076",,,
"14992","Occupational Therapy in Mental Health","Occup. Ther. Ment. Health","0.9","1","0","医学4区",,"Taylor & Francis","0164-212X","1541-3101","https://www.tandfonline.com/journals/womh20","https://www.tandfonline.com/feed/rss/womh20"
"14993","Post Reproductive Health","Post Reprod. Health",,,"0",,,"SAGE","2053-3691","2053-3705",,
"14994","Quantum Beam Science","Quantum Beam Sci.","1.7","1.5","0","物理与天体物理4区",,"MDPI","2412-382X",,"https://www.mdpi.com/journal/qubs","https://www.mdpi.com/rss/journal/qubs"
"14995","RMLE Online","RMLE Online",,,"0",,,"Taylor & Francis","1940-4476",,"https://www.tandfonline.com/journals/umle20","https://www.tandfonline.com/feed/rss/umle20"
"14996","Taiwanese Journal of Mathematics","Taiwan. J. Math.","0.6","0.6","3","数学4区","数学4区",,"1027-5487",,,
"14997","Vascular and Endovascular Surgery","Vasc. Endovasc. Surg.","0.7","0.9","4","医学4区","医学4区","SAGE","1538-5744",,,
"14998","ACTA Paulista de Enfermagem","ACTA Paul. Enferm.","1","1.3","3","医学4区","医学4区",,"1982-0194","0103-2100",,
"14999","Ethnomusicology","Ethnomusicology","0.8","0.9","0","艺术学2区",,,"0014-1836",,,
"15000","Journal of Pastoral Care and Counseling","J. Pastor. Care Couns.","0.6","0.8","0","哲学4区",,"SAGE","1542-3050","2167-776X",,
"15001","Asian Geographer","Asian Geogr.","2.2","1.8","0","社会学3区",,"Taylor & Francis","1022-5706",,"https://www.tandfonline.com/journals/rage20","https://www.tandfonline.com/feed/rss/rage20"
"15002","Biological Agriculture and Horticulture","Biol. Agric. Hortic.","1.6","1.7","2","农林科学4区","农林科学4区","Taylor & Francis","0144-8765","2165-0616","https://www.tandfonline.com/journals/tbah20","https://www.tandfonline.com/feed/rss/tbah20"
"15003","Chinese Journal of Plant Ecology","Chin. J. Plant Ecol.",,,"0",,,,"1005-264X",,,
"15004","Data Science Journal","Data Sci. J.",,,"0",,,,"1683-1470",,,
"15005","EPPO Bulletin","EPPO Bull.",,,"0",,,"Wiley","0250-8052","1365-2338",,"https://onlinelibrary.wiley.com/feed/13652338/most-recent"
"15006","HAU: Journal of Ethnographic Theory","HAU: J. Ethnogr. Theory","0.5","0.7","0","社会学4区",,"University of Chicago","2049-1115","2575-1433",,
"15007","Insect Systematics and Evolution","Insect Syst. Evol.","1.4","1.2","2","农林科学2区","农林科学3区","Brill","1876-312X","1399-560X",,
"15008","International Journal of Environmental Studies","Int. J. Environ. Stud.",,,"0",,,"Taylor & Francis","0020-7233","1029-0400","https://www.tandfonline.com/journals/genv20","https://www.tandfonline.com/feed/rss/genv20"
"15009","Zeitschrift fur Soziologie","Z. fur Soziol.","0.8","0.8","0","社会学4区",,"Walter De Gruyter","2366-0325","0340-1804",,
"15010","Acta Dermatovenerologica Alpina, Pannonica et Adriatica","Acta Dermatovenerol. Alp. Pannonica Adriat.","1","1.2","0","医学4区",,,"1318-4458","1581-2979",,
"15011","Annals of Eye Science","Ann. Eye Sci.","1.1",,"0",,,,"2520-4122",,,
"15012","Artificial Life and Robotics","Artif. Life Robot.","0.8","0.7","0","计算机科学4区",,"Springer Nature","1433-5298",,,
"15013","Biochemical Systematics and Ecology","Biochem. Syst. Ecol.","2","1.7","3","生物学4区","生物4区","Elsevier","0305-1978",,,"https://rss.sciencedirect.com/publication/science/03051978"
"15014","Canadian Water Resources Journal","Can. Water Resour. J.","0.9","1.5","4","环境科学与生态学4区","环境科学与生态学4区","Taylor & Francis","0701-1784",,,
"15015","Constraints","Constraints","1.3","1.3","3","计算机科学4区","工程技术4区","Springer Nature","1572-9354","1383-7133",,
"15016","International Journal of Health Care Quality Assurance","Int. J. Health Care Qual. Assur.","2.2","1.4","0","管理学4区",,"Emerald Publishing","0952-6862",,,
"15017","International Journal of Ventilation","Int. J. Vent.","1.5","1.6","3","工程技术4区","工程技术4区","Taylor & Francis","1473-3315",,"https://www.tandfonline.com/journals/tjov20","https://www.tandfonline.com/feed/rss/tjov20"
"15018","Journal of Mechanics","J. Mech.","1.8","1.4","3","工程技术4区","工程技术4区","Oxford","1811-8216","1727-7191",,
"15019","Journal of the Marine Biological Association of the United Kingdom","J. Mar. Biol. Assoc. U. K.","0.9","1.2","3","生物学4区","生物4区","Cambridge","1469-7769","0025-3154",,
"15020","Journal of Tropical Ecology","J. Trop. Ecol.","1","1.4","4","环境科学与生态学4区","环境科学与生态学4区","Cambridge","0266-4674","1469-7831",,
"15021","Pediatric Endocrinology, Diabetes and Metabolism","Pediatr. Endocrinol. Diabetes Metab.",,,"0",,,,"2081-237X","2083-8441",,
"15022","Proceedings of the Institution of Civil Engineers: Bridge Engineering","Proc. Inst. Civ. Eng.: Bridge Eng.","1.6","1.2","0","工程技术4区",,,"1751-7664","1478-4637",,
"15023","Turkish Journal of Earth Sciences","Turk. J. Earth Sci.","1.1","1.3","4","地球科学4区","地学4区",,"1303-619X","1300-0985",,
"15024","Water Economics and Policy","Water Econ. Policy","1.3","1.2","4","经济学4区","环境科学与生态学4区","World Scientific","2382-624X","2382-6258",,
"15025","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","ISPRS Ann. Photogramm. Remote Sens. Spat. Inf. Sci.",,,"0",,,,"2194-9042","2194-9050",,
"15026","African Studies Review","Afr. Stud. Rev.","0.8","1.3","0","社会学3区",,"Cambridge","0002-0206",,,
"15027","Asian Journal of Philosophy","Asian J. Philos.",,,"0",,,"Springer Nature","2731-4642",,,
"15028","Journal of Architectural Conservation","J. Archit. Conserv.","1","1.1","0","艺术学4区",,"Taylor & Francis","1355-6207",,"https://www.tandfonline.com/journals/raco20","https://www.tandfonline.com/feed/rss/raco20"
"15029","Journal of Music Theory","J. Music Theory","0.3","0.7","0","艺术学1区",,"Duke","1941-7497","0022-2909",,
"15030","Journal of New Music Research","J. New Music Res.","0.9","1.4","4","计算机科学3区","工程技术4区","Taylor & Francis","0929-8215",,"https://www.tandfonline.com/journals/nnmr20","https://www.tandfonline.com/feed/rss/nnmr20"
"15031","Museum and Society","Mus. Soc.",,,"0",,,,"1479-8360",,,
"15032","Zolotoordynskoe Obozrenie","Zolotoordynskoe Obozr.",,,"0",,,,"2313-6197","2308-152X",,
"15033","Asian Development Review","Asian Dev. Rev.","1.1",,"0","经济学4区",,"World Scientific","0116-1105","1996-7241",,
"15034","International Journal of Technology","Int. J. Technol.","1.2","1.4","0","工程技术4区",,,"2086-9614","2087-2100",,
"15035","International Journal of Tourism Anthropology","Int. J. Tour. Anthropol.",,,"0",,,"Royal Society of Chemistry","1759-0450","1759-0442",,
"15036","JAMS Journal of Acupuncture and Meridian Studies","JAMS J. Acupunct. Meridian Stud.",,,"0",,,"Springer Nature","2093-8152","2005-2901",,
"15037","Journal of Veterinary Dentistry","J. Vet. Dent.","0.9","1","3","农林科学4区","农林科学3区","SAGE","2470-4083","0898-7564",,
"15038","Plant Protection Science","Plant Prot. Sci.","1.4","1.4","3","农林科学3区","农林科学4区",,"1805-9341","1212-2580",,
"15039","Advances in Dual Diagnosis","Adv. Dual Diagn.","0.8","1","0","心理学4区",,"Emerald","1757-0972","2042-8324",,
"15040","Cardiology Research","Cardiol. Res.","1.4","1.3","0","医学4区",,,"1923-2837","1923-2829",,
"15041","Current Hypertension Reviews","Curr. Hypertens. Rev.","0.8","2.5","0","医学4区",,"Bentham Science","1875-6506","1573-4021",,
"15042","EJVES Vascular Forum","EJVES Vasc. Forum","1.8",,"0","医学4区",,"Elsevier","2666-688X",,,"https://rss.sciencedirect.com/publication/science/2666688X"
"15043","Epilepsy Currents","Epilepsy Curr.","6.3","6.4","1","医学3区","医学2区",,"1535-7511","1535-7597",,
"15044","Heat Transfer Research","Heat Transf. Res.","1.6","1.3","3","工程技术4区","工程技术4区",,"1064-2285",,,
"15045","JACC: Case Reports","JACC: Case Rep.",,,"0",,,"Elsevier","2666-0849",,,"https://rss.sciencedirect.com/publication/science/26660849"
"15046","Journal of Child Psychotherapy","J. Child Psychother.","0.8","0.6","0","心理学4区",,"Taylor & Francis","1469-9370","0075-417X","https://www.tandfonline.com/journals/rjcp20","https://www.tandfonline.com/feed/rss/rjcp20"
"15047","Journal of Porous Media","J. Porous Media","2.4","2.2","2","工程技术4区","工程技术4区",,"1934-0508","1091-028X",,
"15048","Medicinski Glasnik","Med. Glas.",,,"0",,,,"1840-2445","1840-0132",,
"15049","Progress in Palliative Care","Prog. Palliat. Care","0.8","1.4","0","医学4区",,"Taylor & Francis","0969-9260","1743-291X","https://www.tandfonline.com/journals/yppc20","https://www.tandfonline.com/feed/rss/yppc20"
"15050","Methods in Molecular Biology","Methods Mol. Biol.",,,"0",,,,"1940-6029","1064-3745",,
"15051","Anthropozoologica","Anthropozoologica","0.7","0.7","0","社会学4区",,,"0761-3032","2107-0881",,
"15052","Digital Transformation and Society","Digit. Transform. Soc.",,,"0",,,"Emerald Publishing","2755-0761","2755-077X",,
"15053","Fuzzy Information and Engineering","Fuzzy Inf. Eng.","1.1","1.1","0","数学3区",,"Taylor & Francis","1616-8658","1616-8666","https://www.tandfonline.com/journals/tfie20","https://www.tandfonline.com/feed/rss/tfie20"
"15054","International Journal of Computational Fluid Dynamics","Int. J. Comput. Fluid Dyn.","1.3","1.4","3","工程技术4区","工程技术4区","Taylor & Francis","1061-8562","1029-0257","https://www.tandfonline.com/journals/gcfd20","https://www.tandfonline.com/feed/rss/gcfd20"
"15055","International Journal of Horticultural Science and Technology","Int. J. Hortic. Sci. Technol.",,,"0",,,,"2588-3143","2322-1461",,
"15056","International Review of Public Administration","Int. Rev. Public Adm.",,,"0",,,"Taylor & Francis","2331-7795","1229-4659","https://www.tandfonline.com/journals/rrpa20","https://www.tandfonline.com/feed/rss/rrpa20"
"15057","Journal of Contemporary Dental Practice","J. Contemp. Dent. Pract.",,,"0",,,,"1526-3711",,,
"15058","Medicina Intensiva","Med. Intensiva","3.1","2.4","2","医学4区","医学4区",,"1578-6749","0210-5691",,
"15059","Papeis Avulsos de Zoologia","Pap. Avulsos Zool.",,,"0",,,,"0031-1049","1807-0205",,
"15060","Politica Criminal","Polit. Crim.",,,"0",,,,"0718-3399",,,
"15061","Records of Natural Products","Rec. Nat. Prod.","1.6","1.4","3","生物学4区","生物4区",,"1307-6167",,,
"15062","Revista Brasileira de Zootecnia","Rev. Bras. Zootec.",,,"0",,,,"1806-9290","1516-3598",,
"15063","South African Journal of Economic and Management Sciences","S. Afr. J. Econ. Manag. Sci.","1.4","1.5","0","管理学4区",,,"2222-3436","1015-8812",,
"15064","Anales de Pediatria","An. Pediatr.","2.1","1.9","2","医学4区","医学4区",,"1695-4033","1695-9531",,
"15065","Brain Impairment","Brain Impair.","1.4","1.3","3","医学4区","医学4区",,"1839-5252","1443-9646",,
"15066","Cardiology in the Young","Cardiol. Young","0.7","0.8","4","医学4区","医学4区","Cambridge","1047-9511","1467-1107",,
"15067","Cognitive Computation and Systems","Cogn. Comput. Syst.","1.3","1.4","0","计算机科学4区",,"Wiley","2517-7567","2517-7567",,"https://onlinelibrary.wiley.com/feed/25177567/most-recent"
"15068","Echocardiography","Echocardiography","1.4","1.5","3","医学4区","医学4区","Wiley","0742-2822","1540-8175",,"https://onlinelibrary.wiley.com/feed/15408175/most-recent"
"15069","Mini-Reviews in Organic Chemistry","Mini-Rev. Org. Chem.","2.3","2.2","2","化学4区","化学4区","Bentham Science","1875-6298","1570-193X",,
"15070","Neurology India","Neurol. India","0.8","1.1","4","医学4区","医学4区","Wolters Kluwer","1998-4022","0028-3886",,
"15071","Physical Activity and Nutrition","Phys. Act. Nutr.",,,"0",,,,"2733-7545",,,
"15072","Renal Replacement Therapy","Ren. Replace. Ther.","1","1.2","0","医学4区",,"Springer Nature","2059-1381",,,
"15073","Reports on Mathematical Physics","Rep. Math. Phys.","1.2","1","3","物理与天体物理4区","物理4区","Elsevier","0034-4877",,,"https://rss.sciencedirect.com/publication/science/00344877"
"15074","Romanian Journal of Internal Medicine","Rom. J. Intern. Med.","0.8","1.4","0","医学4区",,"Walter De Gruyter","2501-062X",,,
"15075","Stratigraphy","Stratigraphy","0.6","0.8","4","地球科学4区","地学4区",,"1547-139X",,,
"15076","Theoretical and Mathematical Physics (Russian Federation)","Theor. Math. Phys. (Russ. Fed.)","1.1","0.9","3","物理与天体物理4区","物理4区","Pleiades","1573-9333","0040-5779",,
"15077","Business History Review","Bus. Hist. Rev.","1.2","1.5","0","历史学2区",,"Cambridge","0007-6805","2044-768X",,
"15078","Estudios Sobre el Mensaje Periodistico","Estud. Sobre Mensaje Periodis.",,,"0",,,,"1988-2696","1134-1629",,
"15079","Journal of Ethnic and Cultural Studies","J. Ethn. Cult. Stud.",,,"0",,,,"2149-1291",,,
"15080","Journal of Theoretical and Philosophical Psychology","J. Theor. Philos. Psychol.","1.2","1.4","0","心理学4区",,"APA","1068-8471",,,
"15081","Proceedings of the Institution of Civil Engineers: Urban Design and Planning","Proc. Inst. Civ. Eng.: Urban Des. Plan.","1.6","1.4","0","经济学4区",,,"1755-0807","1755-0793",,
"15082","Central Asian Affairs","Cent. Asian Aff.",,,"0",,,"Brill","2214-2290","2214-2282",,
"15083","Cyber-Physical Systems","Cyber-Phys. Syst.",,,"0",,,"Taylor & Francis","2333-5785",,"https://www.tandfonline.com/journals/tcyb20","https://www.tandfonline.com/feed/rss/tcyb20"
"15084","Design Journal","Des. J.","1.1","1.1","0","艺术学4区",,"Taylor & Francis","1460-6925",,,
"15085","European Papers - A Journal on Law and Integration","Eur. Pap. - J. Law Integr.",,,"0",,,,"2499-8249",,,
"15086","Foresight and STI Governance","Foresight STI Gov.","1","1.3","0","管理学4区",,,"2312-9972","2500-2597",,
"15087","International Journal of Business Intelligence Research","Int. J. Bus. Intell. Res.",,,"0",,,,"1947-3605","1947-3591",,
"15088","Journal of Aerosol Medicine and Pulmonary Drug Delivery","J. Aerosol Med. Pulm. Drug Deliv.","1.8","2.6","3","医学4区","医学3区","SAGE","1941-2703","1941-2711",,
"15089","Journal of ICT Standardization","J. ICT Stand.",,,"0",,,,"2245-800X","2246-0853",,
"15090","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Lect. Notes Comput. Sci. (incl. subser. Lect. Notes Artif. Intell. Lect. Notes Bioinform.)",,,"0",,,"Springer Nature","0302-9743","1611-3349",,
"15091","Southern Communication Journal","South. Commun. J.","0.8","0.9","0","文学4区",,"Taylor & Francis","1930-3203","1041-794X","https://www.tandfonline.com/journals/rsjc20","https://www.tandfonline.com/feed/rss/rsjc20"
"15092","Advances in Operations Research","Adv. Oper. Res.",,,"0",,,"Wiley","1687-9155","1687-9155",,
"15093","Asian Myrmecology","Asian Myrmecol.","1.2","0.9","3","农林科学3区","农林科学4区",,"1985-1944",,,
"15094","Australian Journal of Earth Sciences","Aust. J. Earth Sci.","0.9","1.2","4","地球科学4区","地学4区","Taylor & Francis","0812-0099",,"https://www.tandfonline.com/journals/taje20","https://www.tandfonline.com/feed/rss/taje20"
"15096","Eurasian Chemico-Technological Journal","Eurasian Chem.-Technol. J.","1.2","0.8","0","化学4区",,,"1562-3920",,,
"15097","Liquids","Liquids",,,"0",,,"MDPI","2673-8015",,"https://www.mdpi.com/journal/liquids","https://www.mdpi.com/rss/journal/liquids"
"15098","Management and Labour Studies","Manag. Labour Stud.",,,"0",,,"SAGE","2321-0710","0258-042X",,
"15099","Physics in Medicine","Phys. Med.",,,"0",,,"Elsevier","2352-4510",,,
"15100","Proyecciones","Proyecciones",,,"0",,,,"0717-6279","0716-0917",,
"15101","Solid-State Electronics","Solid-State Electron.","1.4","1.4","4","物理与天体物理4区","物理4区","Elsevier","0038-1101",,,"https://rss.sciencedirect.com/publication/science/00381101"
"15102","Survey Methodology","Surv. Methodol.","1.2","1.1","2","数学4区","数学4区",,"1492-0921","0714-0045",,
"15103","Journal of Genetics","J. Genet.","1.2","1.4","4","生物学4区","生物4区","Springer Nature","0973-7731","0022-1333",,
"15104","History of Education Quarterly","Hist. Educ. Q.","0.8","1.1","0","教育学4区",,"Cambridge","0018-2680",,,
"15105","Japan Forum","Jpn. Forum","0.2","0.7","0","社会学4区",,"Taylor & Francis","0955-5803",,"https://www.tandfonline.com/journals/rjfo20","https://www.tandfonline.com/feed/rss/rjfo20"
"15106","Journal of General Music Education","J. Gen. Music Educ.",,,"0",,,"SAGE","2752-7646",,,
"15107","Social Text","Soc. Text","0.9","3.7","0","社会学3区",,"Duke","0164-2472","1527-1951",,
"15108","Advances in Applied Ceramics","Adv. Appl. Ceram.","1.6","2.2","3","材料科学4区","工程技术4区","SAGE","1743-6761","1743-6753",,
"15109","African Journal of Economic and Management Studies","Afr. J. Econ. Manag. Stud.","1.9","1.9","0","经济学4区",,"Emerald","2040-0713","2040-0705",,
"15110","Ardea","Ardea","1.3","1","2","生物学4区","生物4区",,"0373-2266",,,
"15111","Biodiversity Data Journal","Biodivers. Data J.","1.1","1.2","3","环境科学与生态学4区","生物4区",,"1314-2828","1314-2836",,
"15112","Chinese Journal of Urban and Environmental Studies","Chin. J. Urban Environ. Stud.","1.2","1.5","0","经济学4区",,"World Scientific","2345-752X","2345-7481",,
"15113","Engineering Research Express","Eng. Res. Express","1.6","1.7","0","工程技术4区",,"IOP","2631-8695",,,
"15114","International Journal of Mathematical, Engineering and Management Sciences","Int. J. Math. Eng. Manag. Sci.","1.5","1.2","0","管理学4区",,,"2455-7749",,,
"15115","Journal of Asian Natural Products Research","J. Asian Nat. Prod. Res.","1.3","1.6","3","医学4区","医学4区","Taylor & Francis","1028-6020","1477-2213","https://www.tandfonline.com/journals/ganp20","https://www.tandfonline.com/feed/rss/ganp20"
"15116","Journal of Orthoptera Research","J. Orthoptera Res.","1.2",,"0","农林科学4区",,,"1082-6467","1937-2426",,
"15117","Nordic Journal of Botany","Nord. J. Bot.","1.1","1.1","3","生物学4区","生物4区","Wiley","0107-055X","1756-1051",,"https://onlinelibrary.wiley.com/feed/17561051/most-recent"
"15118","Pramana - Journal of Physics","Pramana - J. Phys.","2.1","1.9","2","物理与天体物理4区","物理4区","Springer Nature","0304-4289","0973-7111",,
"15119","Review of Derivatives Research","Rev. Deriv. Res.","0.9","0.8","0","经济学4区",,"Springer Nature","1380-6645","1573-7144",,
"15120","Zoological Science","Zool. Sci.","1","0.9","3","生物学4区","生物4区",,"0289-0003",,,
"15121","Australasian Journal of Special and Inclusive Education","Australas. J. Spec. Incl. Educ.","0.9","1","0","教育学4区",,"Cambridge","2515-0731","2515-074X",,
"15122","Electric Power Components and Systems","Electr. Power Compon. Syst.","1.5","1.5","3","工程技术4区","工程技术4区","Taylor & Francis","1532-5016","1532-5008","https://www.tandfonline.com/journals/uemp20","https://www.tandfonline.com/feed/rss/uemp20"
"15123","Journal of Cryptographic Engineering","J. Cryptogr. Eng.","1.4","1.9","3","计算机科学4区","工程技术4区","Springer Nature","2190-8516","2190-8508",,
"15124","Journal of Integer Sequences","J. Integer Seq.","0.4","0.4","0","数学4区",,,"1530-7638",,,
"15125","Journal of Psoriasis and Psoriatic Arthritis","J. Psoriasis Psoriatic Arthritis",,,"0",,,"SAGE","2475-5311","2475-5303",,
"15126","Neotropical Biodiversity","Neotrop. Biodivers.","0.8","1","0","环境科学与生态学4区",,"Taylor & Francis","2376-6808",,"https://www.tandfonline.com/journals/tneo20","https://www.tandfonline.com/feed/rss/tneo20"
"15127","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","Nucl. Instrum. Methods Phys. Res. B: Beam Interact. Mater. At.","1.3","1.3","3","物理与天体物理3区","物理4区","Elsevier","0168-583X",,,"https://rss.sciencedirect.com/publication/science/0168583X"
"15128","Pediatric Hematology and Oncology","Pediatr. Hematol. Oncol.","1.2","1.3","3","医学4区","医学4区","Informa Healthcare","0888-0018","1521-0669",,
"15129","Pediatric Reports","Pediatr. Rep.","1.4","1.2","0","医学4区",,"MDPI","2036-7503","2036-7503","https://www.mdpi.com/journal/pediatrrep","https://www.mdpi.com/rss/journal/pediatrrep"
"15130","Revista de Gastroenterologia de Mexico","Rev. Gastroenterol. Mex.","1.7","1.6","0","医学4区",,,"0375-0906",,,
"15131","Sahand Communications in Mathematical Analysis","Sahand Commun. Math. Anal.","0.6","0.5","0","数学4区",,,"2423-3900","2322-5807",,
"15132","Scientia Geologica Sinica","Sci. Geol. Sin.",,,"0",,,"科学出版社","0563-5020",,,
"15133","Strojnicky Casopis","Stroj. Cas.",,,"0",,,,"2450-5471","0039-2472",,
"15134","Surgical Neurology International","Surg. Neurol. Int.",,,"0",,,,"2229-5097","2152-7806",,
"15135","AIAA/IEEE Digital Avionics Systems Conference - Proceedings","AIAA/IEEE Digit. Avion. Syst. Conf. - Proc.",,,"0",,,"IEEE","2155-7195",,,
"15136","Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC","Proc. ACM SIGCOMM Internet Meas. Conf. IMC",,,"0",,,,"2150-3761",,,
"15137","Historical Archaeology","Hist. Archaeol.","0.6","0.7","0","历史学3区",,,"0440-9213",,,
"15138","Hungarian Geographical Bulletin","Hung. Geogr. Bull.","1.1",,"0","社会学4区",,,"2064-5147","2064-5031",,
"15139","Investigaciones sobre Lectura","Investig. sobre Lect.","1.2","1.5","0","教育学4区",,,"2340-8685",,,
"15140","Journal of Asian Studies","J. Asian Stud.","0.8","1.4","0","社会学2区",,"Duke","0021-9118",,,
"15141","World Literature Studies","World Lit. Stud.","0.1","0.2","0","文学3区",,,"1337-9275","1337-9690",,
"15142","Acta Medica Academica","Acta Med. Acad.",,,"0",,,,"1840-2879","1840-1848",,
"15143","Assessment for Effective Intervention","Assess. Eff. Interv.","0.8","1.1","0","教育学4区",,"SAGE","1938-7458","1534-5084",,
"15144","History of Education","Hist. Educ.","0.6","0.6","0","教育学4区",,"Taylor & Francis","1464-5130","0046-760X","https://www.tandfonline.com/journals/thed20","https://www.tandfonline.com/feed/rss/thed20"
"15145","International Journal of Migration, Health and Social Care","Int. J. Migr. Health Soc. Care","0.7","0.9","0","医学4区",,"Emerald","2042-8650","1747-9894",,
"15146","Journal of Engineering Mathematics","J. Eng. Math.","1.4","1.4","3","工程技术4区","工程技术4区","Springer Nature","1573-2703","0022-0833",,
"15147","Journal of Histotechnology","J. Histotechnol.","1.8","1.6","4","生物学4区","生物4区","Maney","0147-8885","2046-0236",,
